key_pressed,key_count,average_amplitude,X,Y
`,44,0.0012959695245286142,51.55,541.37
1,43,0.00623500012810867,171.39,541.37
2,44,0.00693163573927533,284.38,541.37
3,44,0.007211413686550112,400.63,541.37
4,44,0.00793124422053305,516.6600000000001,541.37
5,44,0.00539936904365681,629.28,541.37
6,43,0.005902632204358734,740.64,541.37
7,43,0.00507208945119465,853.66,541.37
8,44,0.006984563883665709,965.42,541.37
9,44,0.01435014421820673,1080.89,541.37
0,44,0.013281975538899156,1189.8,541.37
-,20,0.0011897676225022264,1302.42,541.37
=,20,0.0011848408447202225,1415.89,541.37
q,44,0.005622727950537077,230.86,422.15
w,44,0.007224774677763581,340.91,422.15
e,44,0.007865580428579473,456.94,422.15
r,44,0.0084847931916731,565.29,422.15
t,44,0.010766922341880421,680.47,422.15
y,44,0.006748146979506321,794.79,422.15
u,42,0.00625048384637736,907.41,422.15
i,43,0.007882723786750898,1020.03,422.15
o,44,0.006441058157676532,1133.5,422.15
p,44,0.011215190869532972,1247.82,422.15
[,20,0.0011768253364665105,1359.58,422.15
],20,0.0011546040127950602,1473.91,422.15
bcksl,20,0.0010188564034406004,1587.38,422.15
a,44,0.005232905466452098,256.11,313.03
s,43,0.007292454807296803,373.63,313.03
d,44,0.00702529355570283,486.76,313.03
f,44,0.008958389221635015,597.26,313.03
g,43,0.010662156471255312,709.51,313.03
h,44,0.007738384124724756,822.64,313.03
j,44,0.012260505855315957,936.65,313.03
k,44,0.012642387043072585,1053.78,313.03
l,44,0.01333116734025615,1162.91,313.03
;,20,0.0008919701773667576,1276.04,313.03
apost,20,0.0008889290829423239,1387.74,313.03
z,44,0.006379642970398485,312.24,200.68
x,44,0.007208411546009121,428.0,200.68
c,44,0.00817183213111894,539.38,200.68
v,44,0.009666926851733506,654.26,200.68
b,44,0.011191902219611855,765.64,200.68
n,44,0.007307657434154227,879.65,200.68
m,44,0.010710712765846408,993.65,200.68
",",20,0.0012185998222627192,1105.91,200.68
.,20,0.0011202155082603448,1220.0,200.68
fwdsl,20,0.0013002411797135406,1333.92,200.68
space,20,0.0013967508979986039,826.0,80.43
